physics,chemistry,maths,biology,total,stream,rank
77,93,95,0,265,PCM,2361
66,24,52,0,142,PCM,70277
56,20,0,66,142,PCB,104837
59,63,83,0,205,PCM,11374
42,100,24,0,166,PCM,40925
74,23,21,0,118,PCM,94714
73,76,55,0,204,PCM,11237
20,62,0,60,142,PCB,105582
94,77,35,0,206,PCM,10549
41,63,46,0,150,PCM,60046
44,36,70,0,150,PCM,59574
91,51,0,47,189,PCB,32518
20,78,0,37,135,PCB,117943
93,82,0,42,217,PCB,11020
44,40,32,0,116,PCM,96687
79,67,0,82,228,PCB,9357
28,62,39,0,129,PCM,84949
27,67,44,0,138,PCM,73708
78,38,50,0,166,PCM,40271
80,89,70,0,239,PCM,2129
75,54,0,41,170,PCB,56803
100,61,0,88,249,PCB,2739
72,92,34,0,198,PCM,14816
50,95,0,80,225,PCB,9236
37,64,0,45,146,PCB,95729
48,36,0,64,148,PCB,93279
21,80,99,0,200,PCM,14938
71,25,0,76,172,PCB,51497
53,42,68,0,163,PCM,44602
56,38,73,0,167,PCM,40010
76,22,0,95,193,PCB,25642
59,28,87,0,174,PCM,34319
69,30,0,29,128,PCB,127523
95,62,0,66,223,PCB,9970
100,95,63,0,258,PCM,910
49,51,0,26,126,PCB,130929
53,60,26,0,139,PCM,73930
68,71,0,89,228,PCB,6604
68,91,0,40,199,PCB,22316
87,69,96,0,252,PCM,1854
100,35,0,48,183,PCB,37390
80,40,100,0,220,PCM,6930
91,46,0,51,188,PCB,33294
36,96,99,0,231,PCM,3839
46,76,0,99,221,PCB,10090
55,85,62,0,202,PCM,12524
44,55,0,62,161,PCB,72105
91,29,0,32,152,PCB,87061
59,51,0,100,210,PCB,14032
22,26,54,0,102,PCM,103946
23,21,59,0,103,PCM,104453
61,88,0,91,240,PCB,5873
41,65,63,0,169,PCM,37256
41,42,0,39,122,PCB,135935
99,56,0,91,246,PCB,4094
37,31,81,0,149,PCM,60435
31,48,0,81,160,PCB,71987
90,27,0,79,196,PCB,23617
36,82,83,0,201,PCM,14031
48,71,0,26,145,PCB,100732
36,79,0,36,151,PCB,87082
81,40,0,45,166,PCB,61978
94,79,0,49,222,PCB,9118
67,73,0,32,172,PCB,53442
43,23,99,0,165,PCM,43540
39,63,0,27,129,PCB,125460
79,29,0,46,154,PCB,81721
78,72,60,0,210,PCM,9750
60,83,50,0,193,PCM,17378
98,64,28,0,190,PCM,19660
94,43,59,0,196,PCM,16331
27,77,81,0,185,PCM,24583
28,29,0,88,145,PCB,97967
86,26,0,73,185,PCB,36032
79,49,42,0,170,PCM,36435
66,58,52,0,176,PCM,31578
97,39,47,0,183,PCM,25734
75,26,0,74,175,PCB,48804
66,41,0,36,143,PCB,102975
45,43,36,0,124,PCM,87860
65,69,27,0,161,PCM,47813
66,45,26,0,137,PCM,74701
32,95,70,0,197,PCM,15449
22,94,54,0,170,PCM,37730
55,99,0,33,187,PCB,33971
41,24,0,62,127,PCB,127512
73,78,0,34,185,PCB,34784
53,100,0,73,226,PCB,6646
43,31,0,22,96,PCB,161475
47,31,0,42,120,PCB,138524
20,33,31,0,84,PCM,111849
68,76,0,89,233,PCB,6014
77,95,0,96,268,PCB,135
86,47,97,0,230,PCM,5403
52,87,0,77,216,PCB,10503
72,95,0,79,246,PCB,2242
87,30,84,0,201,PCM,14385
36,45,99,0,180,PCM,26829
86,59,0,23,168,PCB,57440
96,83,53,0,232,PCM,4298
77,85,0,36,198,PCB,24197
74,38,0,24,136,PCB,115728
66,87,0,82,235,PCB,4674
78,74,0,56,208,PCB,16187
70,37,85,0,192,PCM,18070
39,97,21,0,157,PCM,52669
89,83,0,46,218,PCB,11687
43,47,0,57,147,PCB,94387
54,54,0,96,204,PCB,18616
79,35,32,0,146,PCM,65872
89,49,0,53,191,PCB,28278
70,66,0,96,232,PCB,7871
33,77,74,0,184,PCM,25159
56,90,0,36,182,PCB,38976
52,85,0,49,186,PCB,35640
53,61,68,0,182,PCM,26558
39,21,36,0,96,PCM,107227
58,28,0,74,160,PCB,72366
31,43,87,0,161,PCM,47107
95,38,71,0,204,PCM,11232
63,51,67,0,181,PCM,27163
92,70,22,0,184,PCM,25064
80,81,78,0,239,PCM,4407
100,37,0,23,160,PCB,71534
54,67,0,52,173,PCB,51535
93,28,0,20,141,PCB,106113
79,70,45,0,194,PCM,16970
25,36,0,89,150,PCB,88476
84,24,0,81,189,PCB,30938
94,47,68,0,209,PCM,9222
30,94,98,0,222,PCM,6747
55,56,0,38,149,PCB,91377
64,23,0,77,164,PCB,66165
38,78,0,65,181,PCB,39865
30,64,0,47,141,PCB,106922
96,84,0,70,250,PCB,1715
62,24,0,87,173,PCB,50531
37,77,0,25,139,PCB,110029
34,99,0,20,153,PCB,86111
66,26,73,0,165,PCM,42672
92,65,85,0,242,PCM,2735
42,30,0,48,120,PCB,137276
39,87,0,71,197,PCB,23762
82,23,0,75,180,PCB,40672
54,62,0,53,169,PCB,57333
54,64,100,0,218,PCM,8382
81,52,71,0,204,PCM,11482
25,39,0,98,162,PCB,68727
50,75,0,33,158,PCB,75353
31,21,96,0,148,PCM,62054
32,69,46,0,147,PCM,63397
23,32,0,65,120,PCB,139191
100,98,0,81,279,PCB,2188
93,59,0,92,244,PCB,4086
33,24,0,20,77,PCB,172292
74,46,0,28,148,PCB,94403
92,62,53,0,207,PCM,11295
55,73,0,96,224,PCB,9311
32,90,0,32,154,PCB,83894
30,100,0,59,189,PCB,31664
31,78,0,42,151,PCB,86548
68,49,0,44,161,PCB,72078
80,63,100,0,243,PCM,2336
84,90,0,82,256,PCB,3757
52,94,70,0,216,PCM,7648
93,32,0,93,218,PCB,10629
93,39,0,85,217,PCB,12451
88,79,0,46,213,PCB,15183
32,81,0,37,150,PCB,89117
38,56,0,82,176,PCB,46275
86,67,77,0,230,PCM,5122
33,77,0,47,157,PCB,78475
23,92,95,0,210,PCM,9029
38,28,67,0,133,PCM,78985
38,85,0,34,157,PCB,76863
79,45,53,0,177,PCM,30222
88,38,34,0,160,PCM,47056
39,79,0,65,183,PCB,37650
100,33,62,0,195,PCM,16514
51,86,62,0,199,PCM,15219
56,44,0,62,162,PCB,70004
22,92,48,0,162,PCM,46267
87,57,0,89,233,PCB,5825
47,67,0,94,208,PCB,15697
62,85,85,0,232,PCM,4739
92,22,0,56,170,PCB,57474
70,54,0,62,186,PCB,33930
62,82,0,100,244,PCB,3229
92,76,0,60,228,PCB,8745
81,84,0,35,200,PCB,21505
59,44,0,82,185,PCB,36089
81,89,0,82,252,PCB,2469
48,69,100,0,217,PCM,8745
41,99,0,47,187,PCB,32460
97,97,0,42,236,PCB,6352
77,99,0,44,220,PCB,9841
90,49,0,24,163,PCB,66572
31,98,0,57,186,PCB,34810
53,33,63,0,149,PCM,60956
48,98,43,0,189,PCM,21196
86,69,74,0,229,PCM,3873
65,84,68,0,217,PCM,8450
78,36,0,46,160,PCB,73300
84,80,0,52,216,PCB,12622
77,75,93,0,245,PCM,1481
97,35,88,0,220,PCM,7090
21,44,0,50,115,PCB,143447
50,48,0,54,152,PCB,86960
51,42,93,0,186,PCM,23321
77,52,0,66,195,PCB,24303
32,83,0,30,145,PCB,98121
82,48,78,0,208,PCM,9804
85,30,0,31,146,PCB,98104
68,47,0,99,214,PCB,12694
48,67,0,51,166,PCB,60578
53,47,34,0,134,PCM,78004
58,81,0,46,185,PCB,37303
48,74,0,91,213,PCB,14274
52,84,0,77,213,PCB,12722
96,36,0,74,206,PCB,16964
70,95,55,0,220,PCM,6147
81,63,81,0,225,PCM,6719
62,37,0,65,164,PCB,64185
79,33,0,39,151,PCB,88193
82,98,0,69,249,PCB,4856
30,64,0,69,163,PCB,67668
36,99,0,50,185,PCB,37246
37,93,27,0,157,PCM,52568
40,47,0,76,163,PCB,67922
97,84,0,94,275,PCB,780
70,77,0,94,241,PCB,5930
45,58,54,0,157,PCM,50790
22,63,0,28,113,PCB,145901
81,83,77,0,241,PCM,3938
96,73,83,0,252,PCM,2985
25,74,73,0,172,PCM,34148
91,98,0,53,242,PCB,4675
71,61,0,53,185,PCB,34187
46,73,83,0,202,PCM,13148
81,28,48,0,157,PCM,51670
63,66,21,0,150,PCM,60937
69,93,44,0,206,PCM,11728
21,61,44,0,126,PCM,86316
39,88,87,0,214,PCM,8881
43,94,98,0,235,PCM,3406
40,83,0,57,180,PCB,41071
71,93,0,27,191,PCB,28677
77,98,81,0,256,PCM,1451
35,48,31,0,114,PCM,97199
44,48,0,27,119,PCB,140405
97,73,0,84,254,PCB,1316
31,55,88,0,174,PCM,32990
68,54,0,57,179,PCB,43013
72,32,46,0,150,PCM,59157
30,39,0,76,145,PCB,97995
30,30,0,74,134,PCB,118111
73,36,0,77,186,PCB,34616
49,31,0,83,163,PCB,68204
82,79,62,0,223,PCM,6825
96,24,92,0,212,PCM,10354
25,31,38,0,94,PCM,107324
93,54,0,26,173,PCB,52089
55,65,0,77,197,PCB,24203
83,67,33,0,183,PCM,25447
98,22,0,22,142,PCB,105083
49,30,0,73,152,PCB,87754
63,67,0,28,158,PCB,74659
68,78,0,79,225,PCB,8252
27,36,0,75,138,PCB,112125
98,44,0,85,227,PCB,6811
63,20,0,30,113,PCB,145898
68,52,96,0,216,PCM,6926
88,85,0,24,197,PCB,23698
52,61,90,0,203,PCM,11802
89,60,0,35,184,PCB,35995
36,36,0,41,113,PCB,147396
22,71,0,60,153,PCB,86250
20,64,67,0,151,PCM,59260
60,30,0,72,162,PCB,70203
61,25,0,94,180,PCB,40019
49,99,77,0,225,PCM,5162
96,31,0,53,180,PCB,40851
56,23,0,61,140,PCB,107749
61,21,0,53,135,PCB,115008
35,21,0,66,122,PCB,134976
45,77,91,0,213,PCM,9593
54,41,0,78,173,PCB,49562
70,38,0,40,148,PCB,94663
76,47,60,0,183,PCM,25076
90,63,60,0,213,PCM,8567
24,27,84,0,135,PCM,77203
52,64,34,0,150,PCM,60896
24,82,0,79,185,PCB,34448
51,36,23,0,110,PCM,98646
99,43,0,42,184,PCB,36323
39,72,66,0,177,PCM,30849
42,60,23,0,125,PCM,88136
100,37,36,0,173,PCM,34073
97,100,0,93,290,PCB,1
51,36,35,0,122,PCM,90774
20,39,0,97,156,PCB,80360
41,88,94,0,223,PCM,5927
62,52,87,0,201,PCM,13488
20,87,0,72,179,PCB,43689
60,41,0,52,153,PCB,83023
89,84,0,100,273,PCB,1103
43,64,41,0,148,PCM,62005
37,46,68,0,151,PCM,57627
30,75,87,0,192,PCM,18600
62,54,63,0,179,PCM,27971
38,54,50,0,142,PCM,70015
49,29,28,0,106,PCM,103231
49,65,0,89,203,PCB,18056
77,97,0,61,235,PCB,6985
46,75,0,37,158,PCB,74770
27,53,36,0,116,PCM,94508
78,21,0,67,166,PCB,63483
26,42,92,0,160,PCM,48201
39,36,0,100,175,PCB,47122
39,92,66,0,197,PCM,17031
22,46,0,50,118,PCB,140488
55,72,0,37,164,PCB,65679
41,23,0,83,147,PCB,95680
41,74,0,21,136,PCB,114694
89,53,0,76,218,PCB,10137
66,24,0,56,146,PCB,97058
92,76,0,48,216,PCB,10959
100,57,0,43,200,PCB,23121
63,43,0,30,136,PCB,113630
44,38,0,36,118,PCB,139326
87,23,33,0,143,PCM,68375
96,59,0,62,217,PCB,11438
43,34,0,84,161,PCB,70965
29,85,77,0,191,PCM,20356
62,92,0,28,182,PCB,39737
82,27,23,0,132,PCM,81393
73,29,37,0,139,PCM,72858
98,23,64,0,185,PCM,24496
97,24,73,0,194,PCM,16553
57,68,84,0,209,PCM,9215
43,76,47,0,166,PCM,41352
93,69,0,55,217,PCB,10100
95,48,24,0,167,PCM,41105
77,93,68,0,238,PCM,4129
50,96,44,0,190,PCM,21139
85,71,0,24,180,PCB,41261
83,79,31,0,193,PCM,18796
38,72,31,0,141,PCM,70568
37,99,0,48,184,PCB,38481
48,89,33,0,170,PCM,36339
45,27,71,0,143,PCM,69301
83,49,39,0,171,PCM,36479
92,66,26,0,184,PCM,23410
71,58,37,0,166,PCM,41308
86,94,42,0,222,PCM,6791
100,59,0,60,219,PCB,10354
60,48,41,0,149,PCM,61528
45,24,0,28,97,PCB,160888
33,48,0,88,169,PCB,57317
53,30,0,97,180,PCB,43160
82,88,51,0,221,PCM,6531
40,77,0,34,151,PCB,89964
93,71,0,25,189,PCB,29666
48,54,86,0,188,PCM,22598
70,74,98,0,242,PCM,2048
43,53,0,23,119,PCB,139525
86,57,79,0,222,PCM,5252
65,71,0,46,182,PCB,40832
21,61,68,0,150,PCM,60970
90,59,95,0,244,PCM,2190
92,73,0,53,218,PCB,11309
33,75,21,0,129,PCM,83746
88,26,0,43,157,PCB,77375
94,75,51,0,220,PCM,6969
79,40,27,0,146,PCM,65442
52,98,0,84,234,PCB,6368
41,32,50,0,123,PCM,89567
97,22,0,68,187,PCB,34424
79,45,0,79,203,PCB,20786
72,28,91,0,191,PCM,20150
61,37,0,57,155,PCB,82621
68,93,90,0,251,PCM,1736
99,68,43,0,210,PCM,10464
32,45,0,48,125,PCB,130670
64,59,0,79,202,PCB,18723
86,66,48,0,200,PCM,14527
49,25,0,95,169,PCB,56988
24,56,0,25,105,PCB,156198
96,72,0,45,213,PCB,14261
34,41,0,41,116,PCB,144976
81,55,31,0,167,PCM,40593
20,55,0,34,109,PCB,150193
98,44,48,0,190,PCM,20027
95,76,0,69,240,PCB,5552
25,77,88,0,190,PCM,20300
33,78,91,0,202,PCM,13304
36,62,0,22,120,PCB,136966
55,95,0,54,204,PCB,17059
50,61,98,0,209,PCM,9845
87,36,96,0,219,PCM,7209
32,44,0,71,147,PCB,94546
99,92,0,24,215,PCB,12730
22,62,60,0,144,PCM,66618
64,68,0,76,208,PCB,15631
56,37,0,77,170,PCB,57326
89,69,74,0,232,PCM,3640
25,38,20,0,83,PCM,111260
74,23,81,0,178,PCM,29872
33,98,52,0,183,PCM,26040
76,67,0,57,200,PCB,22227
74,42,20,0,136,PCM,75738
86,35,0,44,165,PCB,63866
20,21,0,67,108,PCB,153104
93,58,0,52,203,PCB,20955
48,52,0,51,151,PCB,87922
65,69,44,0,178,PCM,30488
94,70,0,45,209,PCB,16111
73,40,0,91,204,PCB,17065
66,52,95,0,213,PCM,8368
74,94,0,75,243,PCB,4576
27,38,0,50,115,PCB,143934
83,24,91,0,198,PCM,14840
45,29,90,0,164,PCM,43749
56,66,0,67,189,PCB,30701
38,48,0,61,147,PCB,94097
90,39,97,0,226,PCM,4442
45,52,0,79,176,PCB,46655
74,88,41,0,203,PCM,13750
48,50,0,95,193,PCB,26450
44,49,91,0,184,PCM,24430
96,83,0,33,212,PCB,15665
94,87,36,0,217,PCM,8780
81,62,0,64,207,PCB,17737
42,97,0,44,183,PCB,36312
96,75,69,0,240,PCM,3448
85,95,0,50,230,PCB,6424
52,20,33,0,105,PCM,103795
29,98,0,26,153,PCB,83646
22,98,0,88,208,PCB,14830
82,58,0,49,189,PCB,30922
77,48,0,42,167,PCB,61399
54,33,49,0,136,PCM,76081
47,52,60,0,159,PCM,50382
57,98,62,0,217,PCM,7706
80,28,0,63,171,PCB,55761
42,72,0,50,164,PCB,64112
33,26,97,0,156,PCM,51932
100,74,40,0,214,PCM,8826
54,30,46,0,130,PCM,83226
47,49,92,0,188,PCM,21185
26,86,70,0,182,PCM,26215
76,42,50,0,168,PCM,38974
78,27,0,92,197,PCB,22909
86,43,0,30,159,PCB,73655
94,22,35,0,151,PCM,58224
56,30,51,0,137,PCM,74188
41,96,0,100,237,PCB,5676
99,21,0,68,188,PCB,33146
95,83,0,48,226,PCB,6433
73,96,79,0,248,PCM,1880
89,61,0,75,225,PCB,6977
51,79,99,0,229,PCM,3818
74,90,0,53,217,PCB,11655
25,77,0,33,135,PCB,115702
57,44,76,0,177,PCM,30786
23,46,75,0,144,PCM,67948
98,28,77,0,203,PCM,13961
65,47,0,51,163,PCB,66671
54,72,42,0,168,PCM,38797
90,23,69,0,182,PCM,27066
36,42,68,0,146,PCM,64801
29,95,0,50,174,PCB,48377
87,45,64,0,196,PCM,17631
59,68,84,0,211,PCM,10577
31,87,66,0,184,PCM,24589
68,78,0,66,212,PCB,12788
78,29,90,0,197,PCM,15237
74,49,0,55,178,PCB,45250
77,47,0,71,195,PCB,23912
58,51,64,0,173,PCM,33757
65,79,44,0,188,PCM,21558
20,20,0,65,105,PCB,155142
84,42,0,23,149,PCB,92990
96,57,0,24,177,PCB,44299
82,20,38,0,140,PCM,72810
39,84,97,0,220,PCM,6467
34,74,26,0,134,PCM,77705
78,74,0,50,202,PCB,18485
38,75,0,29,142,PCB,105344
59,72,0,21,152,PCB,85936
54,79,0,55,188,PCB,31787
68,55,23,0,146,PCM,64646
56,65,0,44,165,PCB,62934
81,44,0,22,147,PCB,95300
36,70,0,100,206,PCB,16199
56,39,47,0,142,PCM,69780
39,46,0,59,144,PCB,101399
50,44,0,78,172,PCB,53768
54,21,0,92,167,PCB,61916
25,70,33,0,128,PCM,85743
69,68,0,90,227,PCB,6259
82,35,51,0,168,PCM,39961
48,57,99,0,204,PCM,12394
55,61,0,89,205,PCB,18800
98,89,62,0,249,PCM,2385
42,76,0,80,198,PCB,23028
79,47,89,0,215,PCM,8925
52,38,0,70,160,PCB,71310
75,92,41,0,208,PCM,10866
76,90,84,0,250,PCM,2594
37,27,22,0,86,PCM,110479
61,36,71,0,168,PCM,39179
62,78,51,0,191,PCM,18975
31,22,0,88,141,PCB,105905
62,29,87,0,178,PCM,28858
76,89,85,0,250,PCM,1603
84,38,72,0,194,PCM,18121
66,91,58,0,215,PCM,8159
92,61,0,95,248,PCB,2576
56,99,0,63,218,PCB,11111
54,51,33,0,138,PCM,73720
31,84,82,0,197,PCM,16195
55,71,45,0,171,PCM,35002
75,88,46,0,209,PCM,10714
64,24,0,50,138,PCB,111467
28,89,41,0,158,PCM,50938
28,76,0,60,164,PCB,64338
97,61,0,33,191,PCB,30248
51,31,41,0,123,PCM,88859
72,81,0,75,228,PCB,6630
85,94,24,0,203,PCM,14014
24,94,0,87,205,PCB,19507
81,66,67,0,214,PCM,8044
32,20,0,54,106,PCB,154209
78,35,21,0,134,PCM,78929
57,39,0,30,126,PCB,128608
84,48,0,66,198,PCB,21782
86,93,0,98,277,PCB,1
95,73,0,24,192,PCB,27614
73,56,70,0,199,PCM,15616
52,58,46,0,156,PCM,53066
68,36,34,0,138,PCM,74880
97,76,0,35,208,PCB,17618
96,62,91,0,249,PCM,2091
61,81,0,88,230,PCB,8265
34,39,0,93,166,PCB,63433
87,96,0,66,249,PCB,2502
72,38,31,0,141,PCM,70809
33,23,63,0,119,PCM,93939
61,36,0,93,190,PCB,29149
89,67,50,0,206,PCM,11080
90,68,46,0,204,PCM,12581
43,48,47,0,138,PCM,74256
51,93,0,46,190,PCB,29770
47,44,0,90,181,PCB,41750
69,37,0,55,161,PCB,69777
22,59,66,0,147,PCM,62894
79,86,79,0,244,PCM,2559
21,86,89,0,196,PCM,16086
92,39,0,72,203,PCB,20796
29,66,0,26,121,PCB,138710
85,55,21,0,161,PCM,47717
51,23,0,97,171,PCB,53447
87,32,56,0,175,PCM,32046
35,27,0,51,113,PCB,146359
89,54,0,56,199,PCB,21029
28,44,98,0,170,PCM,36761
48,99,57,0,204,PCM,11905
75,97,0,91,263,PCB,464
95,46,0,73,214,PCB,13869
100,40,37,0,177,PCM,31264
57,90,0,82,229,PCB,7862
87,94,0,84,265,PCB,1684
43,91,0,99,233,PCB,7434
85,24,0,37,146,PCB,96491
70,78,58,0,206,PCM,11453
56,63,74,0,193,PCM,18238
72,32,36,0,140,PCM,71916
77,90,0,57,224,PCB,8830
100,40,0,85,225,PCB,9267
68,37,0,85,190,PCB,29587
31,71,0,50,152,PCB,85866
62,26,0,53,141,PCB,105492
24,64,0,76,164,PCB,63671
71,79,52,0,202,PCM,12340
41,84,100,0,225,PCM,6328
56,57,0,91,204,PCB,19878
25,21,0,42,88,PCB,166804
68,50,54,0,172,PCM,35430
43,73,0,63,179,PCB,42085
25,27,45,0,97,PCM,107051
58,70,71,0,199,PCM,14336
84,40,0,49,173,PCB,52651
42,43,0,98,183,PCB,38682
71,27,36,0,134,PCM,77745
100,62,73,0,235,PCM,3123
86,38,33,0,157,PCM,51422
39,21,0,22,82,PCB,169187
63,64,82,0,209,PCM,10639
38,96,0,44,178,PCB,44113
38,66,0,72,176,PCB,46878
63,81,0,51,195,PCB,24813
99,69,28,0,196,PCM,17456
26,51,30,0,107,PCM,102745
84,36,75,0,195,PCM,17402
70,90,0,61,221,PCB,10733
100,52,0,85,237,PCB,4084
89,93,87,0,269,PCM,962
25,22,95,0,142,PCM,70321
99,39,0,27,165,PCB,65469
24,26,0,61,111,PCB,150053
53,72,93,0,218,PCM,8141
68,21,0,29,118,PCB,140216
100,63,33,0,196,PCM,15803
43,48,61,0,152,PCM,57425
73,28,0,92,193,PCB,26005
45,42,86,0,173,PCM,33947
98,60,84,0,242,PCM,3309
35,42,56,0,133,PCM,79110
44,83,0,47,174,PCB,49336
57,26,0,33,116,PCB,141775
20,61,93,0,174,PCM,32790
49,61,0,99,209,PCB,14859
58,92,30,0,180,PCM,28307
77,44,0,71,192,PCB,29058
50,62,0,80,192,PCB,28781
21,64,0,30,115,PCB,145906
46,87,0,80,213,PCB,12683
67,96,0,47,210,PCB,16471
23,25,81,0,129,PCM,84768
37,87,46,0,170,PCM,36092
78,83,0,95,256,PCB,3987
92,68,0,26,186,PCB,33394
83,58,57,0,198,PCM,15202
26,38,23,0,87,PCM,110633
50,94,0,47,191,PCB,28584
100,80,64,0,244,PCM,3123
38,94,22,0,154,PCM,54489
79,52,0,46,177,PCB,45336
34,53,0,41,128,PCB,126096
84,79,0,96,259,PCB,1047
77,65,0,80,222,PCB,9011
44,56,82,0,182,PCM,25200
20,68,0,78,166,PCB,61459
87,22,36,0,145,PCM,66629
88,67,44,0,199,PCM,14117
50,38,0,77,165,PCB,65283
89,68,99,0,256,PCM,2665
98,29,0,48,175,PCB,47793
77,25,33,0,135,PCM,76714
53,88,0,74,215,PCB,12288
39,25,0,96,160,PCB,72624
27,36,38,0,101,PCM,106350
24,42,68,0,134,PCM,78233
72,36,0,46,154,PCB,82449
87,37,0,97,221,PCB,11260
38,48,58,0,144,PCM,68197
36,59,0,82,177,PCB,44597
58,80,99,0,237,PCM,2845
59,74,0,69,202,PCB,21169
48,45,0,38,131,PCB,122944
92,83,47,0,222,PCM,5481
53,61,36,0,150,PCM,59097
21,41,57,0,119,PCM,92541
63,95,0,79,237,PCB,4914
59,37,55,0,151,PCM,59992
99,76,0,34,209,PCB,14374
27,71,0,37,135,PCB,117096
79,96,22,0,197,PCM,15714
77,62,78,0,217,PCM,7885
69,96,20,0,185,PCM,24874
37,86,0,31,154,PCB,81950
30,28,92,0,150,PCM,60528
98,90,87,0,275,PCM,258
51,46,0,67,164,PCB,64385
37,75,0,85,197,PCB,22474
20,82,0,37,139,PCB,108893
55,71,25,0,151,PCM,59965
71,78,39,0,188,PCM,20874
32,47,0,25,104,PCB,156533
74,47,57,0,178,PCM,29568
75,61,46,0,182,PCM,25060
49,26,0,94,169,PCB,56291
38,96,97,0,231,PCM,5309
32,63,0,38,133,PCB,119633
88,46,95,0,229,PCM,5158
97,71,53,0,221,PCM,7450
96,77,25,0,198,PCM,15245
28,28,0,76,132,PCB,122407
36,76,32,0,144,PCM,67601
65,20,73,0,158,PCM,51430
37,50,0,78,165,PCB,62520
98,44,76,0,218,PCM,7006
100,36,61,0,197,PCM,17037
42,94,36,0,172,PCM,35929
87,45,26,0,158,PCM,51143
25,92,51,0,168,PCM,40007
28,22,0,50,100,PCB,158448
59,23,95,0,177,PCM,30352
58,94,0,49,201,PCB,19795
75,54,0,61,190,PCB,28827
96,80,0,52,228,PCB,7984
53,44,39,0,136,PCM,77354
94,33,50,0,177,PCM,30938
54,29,0,41,124,PCB,132312
86,42,31,0,159,PCM,48303
38,53,54,0,145,PCM,66769
25,60,28,0,113,PCM,98723
75,90,0,59,224,PCB,10517
28,92,0,74,194,PCB,27090
40,82,97,0,219,PCM,6533
49,79,53,0,181,PCM,27737
91,30,66,0,187,PCM,21845
46,87,93,0,226,PCM,6040
34,33,0,59,126,PCB,131754
60,57,67,0,184,PCM,24111
64,95,0,92,251,PCB,2120
81,56,0,50,187,PCB,34895
86,62,0,35,183,PCB,36938
30,73,78,0,181,PCM,26202
80,21,0,98,199,PCB,23097
81,70,0,89,240,PCB,5951
98,73,32,0,203,PCM,13802
98,40,0,71,209,PCB,16125
22,33,0,25,80,PCB,169535
58,73,53,0,184,PCM,25163
64,28,0,71,163,PCB,67409
65,50,59,0,174,PCM,34322
31,30,79,0,140,PCM,71707
77,41,50,0,168,PCM,39622
21,70,0,97,188,PCB,32135
67,54,80,0,201,PCM,14335
54,89,71,0,214,PCM,8556
42,98,0,74,214,PCB,12847
73,53,0,37,163,PCB,67451
63,66,0,82,211,PCB,15684
27,56,38,0,121,PCM,90719
38,22,0,29,89,PCB,163805
87,26,69,0,182,PCM,25223
37,50,57,0,144,PCM,67898
86,38,0,23,147,PCB,96036
49,59,0,54,162,PCB,67051
65,60,0,62,187,PCB,34043
99,75,0,96,270,PCB,760
32,81,63,0,176,PCM,30353
36,49,0,83,168,PCB,59658
54,31,71,0,156,PCM,51851
98,73,70,0,241,PCM,2473
92,38,43,0,173,PCM,34381
38,71,42,0,151,PCM,58868
26,38,0,54,118,PCB,139663
100,64,81,0,245,PCM,3176
26,29,0,59,114,PCB,145076
94,45,33,0,172,PCM,34337
36,34,27,0,97,PCM,107187
90,84,95,0,269,PCM,1033
61,50,0,42,153,PCB,84257
52,45,0,100,197,PCB,23381
90,50,53,0,193,PCM,19113
63,77,0,98,238,PCB,3705
27,92,89,0,208,PCM,9982
89,27,86,0,202,PCM,12378
81,72,36,0,189,PCM,21960
23,98,0,100,221,PCB,11121
53,37,96,0,186,PCM,23382
43,63,86,0,192,PCM,19320
68,83,0,20,171,PCB,54533
87,60,99,0,246,PCM,3619
91,45,0,41,177,PCB,44086
78,43,0,66,187,PCB,32588
21,33,0,49,103,PCB,155116
47,80,0,66,193,PCB,25540
47,68,0,52,167,PCB,61538
68,42,0,67,177,PCB,45774
89,60,29,0,178,PCM,29462
32,67,0,51,150,PCB,88955
83,26,75,0,184,PCM,24727
20,34,0,88,142,PCB,103350
66,46,0,94,206,PCB,15645
78,82,0,49,209,PCB,14563
22,60,0,57,139,PCB,109001
81,28,24,0,133,PCM,78625
64,93,0,68,225,PCB,8538
24,69,70,0,163,PCM,43653
20,37,0,62,119,PCB,140438
86,43,38,0,167,PCM,39258
51,90,0,42,183,PCB,38981
60,35,0,22,117,PCB,141279
71,22,77,0,170,PCM,36341
69,42,0,29,140,PCB,106073
29,60,0,91,180,PCB,42493
26,45,0,33,104,PCB,154058
75,53,0,69,197,PCB,22201
92,43,32,0,167,PCM,41448
61,43,0,21,125,PCB,132783
75,80,31,0,186,PCM,22390
59,62,0,50,171,PCB,52928
69,56,0,60,185,PCB,34880
71,73,37,0,181,PCM,26974
31,44,34,0,109,PCM,100348
72,27,0,52,151,PCB,88977
84,57,81,0,222,PCM,7514
77,21,100,0,198,PCM,14544
26,58,0,100,184,PCB,35395
52,38,20,0,110,PCM,100708
51,72,57,0,180,PCM,28417
68,24,75,0,167,PCM,41326
30,61,0,22,113,PCB,145119
24,49,87,0,160,PCM,47901
20,79,0,34,133,PCB,118625
55,40,85,0,180,PCM,28304
47,92,72,0,211,PCM,8980
94,46,0,88,228,PCB,7182
29,79,0,32,140,PCB,109030
50,39,20,0,109,PCM,99745
93,78,0,45,216,PCB,11392
45,86,60,0,191,PCM,19440
72,50,40,0,162,PCM,45441
33,89,91,0,213,PCM,7937
90,81,70,0,241,PCM,2769
39,73,59,0,171,PCM,35138
37,50,0,74,161,PCB,70737
